prefix,origin_asn,status
24.38.38.0/24,27390,Invalid
24.38.97.0/24,53482,Invalid
37.123.192.0/21,45671,Invalid
41.60.132.0/24,37146,Invalid
41.60.224.0/24,37146,Invalid
41.60.230.0/24,37146,Invalid
43.230.25.0/24,134079,Invalid
43.255.20.0/24,133605,"Invalid,more-specific"
43.255.21.0/24,133605,"Invalid,more-specific"
46.33.53.0/24,35588,"Invalid,more-specific"
46.107.226.0/24,58098,"Invalid,more-specific"
46.150.32.0/20,3212,Invalid
46.150.48.0/20,3212,Invalid
46.182.224.0/21,3212,Invalid
47.19.2.0/24,22234,Invalid
47.19.40.0/24,6102,Invalid
47.19.86.0/24,22271,Invalid
47.19.105.0/24,31922,Invalid
47.19.127.0/24,63329,Invalid
47.19.138.0/24,393644,Invalid
47.19.152.0/24,63397,Invalid
47.19.157.0/24,31774,Invalid
47.19.183.0/24,394524,Invalid
47.19.196.0/24,13850,Invalid
47.19.205.0/24,20370,Invalid
47.19.219.0/24,53482,Invalid
47.19.254.0/24,394817,Invalid
62.255.167.0/24,42010,Invalid
63.247.164.0/24,30527,Invalid
65.51.26.0/24,27335,Invalid
65.51.165.0/24,395434,Invalid
65.51.203.0/24,46904,Invalid
65.51.234.0/24,53880,Invalid
69.27.247.0/24,27478,Invalid
77.93.36.0/22,43022,"Invalid,more-specific"
78.153.32.0/19,3212,Invalid
80.233.134.0/24,200709,Invalid
84.20.224.0/19,3212,Invalid
85.31.94.0/23,42705,"Invalid,more-specific"
89.201.175.0/24,34594,"Invalid,more-specific"
89.201.224.0/19,34748,Invalid
91.103.184.0/23,42010,"Invalid,more-specific"
91.103.186.0/24,42010,"Invalid,more-specific"
91.103.188.0/22,42010,"Invalid,more-specific"
91.237.132.0/22,3212,Invalid
92.63.16.0/20,3212,Invalid
101.128.4.0/24,133538,"Invalid,more-specific"
101.128.5.0/24,55795,Invalid
101.128.6.0/24,55795,Invalid
101.128.7.0/24,55795,Invalid
103.4.94.0/24,45773,"Invalid,more-specific"
103.5.95.0/24,58979,Invalid
103.36.16.0/24,133623,"Invalid,more-specific"
103.36.17.0/24,133623,"Invalid,more-specific"
103.36.18.0/23,133623,"Invalid,more-specific"
103.36.18.0/24,133623,"Invalid,more-specific"
103.36.19.0/24,133623,"Invalid,more-specific"
103.52.12.0/23,9988,"Invalid,more-specific"
103.52.14.0/23,9988,"Invalid,more-specific"
103.69.235.0/24,56030,Invalid
103.102.222.0/24,137042,"Invalid,more-specific"
103.239.4.0/24,133605,"Invalid,more-specific"
103.239.5.0/24,133605,"Invalid,more-specific"
103.252.83.0/24,135523,Invalid
108.179.31.0/24,54702,Invalid
110.5.112.0/24,23657,Invalid
110.5.114.0/24,23657,Invalid
111.68.96.0/24,45773,"Invalid,more-specific"
111.68.97.0/24,45773,"Invalid,more-specific"
111.68.98.0/24,45773,"Invalid,more-specific"
111.68.99.0/24,45773,"Invalid,more-specific"
111.68.100.0/24,45773,"Invalid,more-specific"
111.68.101.0/24,45773,"Invalid,more-specific"
111.68.102.0/24,45773,"Invalid,more-specific"
111.68.103.0/24,45773,"Invalid,more-specific"
111.68.104.0/24,45773,"Invalid,more-specific"
111.68.105.0/24,45773,"Invalid,more-specific"
111.68.106.0/24,45773,"Invalid,more-specific"
111.68.107.0/24,45773,"Invalid,more-specific"
111.68.108.0/24,45773,"Invalid,more-specific"
111.68.109.0/24,45773,"Invalid,more-specific"
111.68.110.0/23,45773,"Invalid,more-specific"
111.68.110.0/24,45773,"Invalid,more-specific"
111.68.111.0/24,45773,"Invalid,more-specific"
112.198.160.0/20,132199,"Invalid,more-specific"
112.198.176.0/21,132199,"Invalid,more-specific"
112.198.184.0/22,132199,"Invalid,more-specific"
112.198.189.0/24,132199,"Invalid,more-specific"
112.198.190.0/24,132199,"Invalid,more-specific"
112.198.191.0/24,132199,"Invalid,more-specific"
112.198.204.0/22,132199,"Invalid,more-specific"
112.198.208.0/22,132199,"Invalid,more-specific"
112.198.212.0/22,132199,"Invalid,more-specific"
112.198.216.0/22,132199,"Invalid,more-specific"
112.198.220.0/22,132199,"Invalid,more-specific"
112.198.224.0/22,132199,"Invalid,more-specific"
112.198.228.0/22,132199,"Invalid,more-specific"
114.31.103.0/24,17741,"Invalid,more-specific"
115.186.143.0/24,38264,Invalid
116.212.184.0/22,38556,"Invalid,more-specific"
116.212.184.0/23,38556,"Invalid,more-specific"
119.110.32.0/19,24218,"Invalid,more-specific"
119.160.121.0/24,45669,"Invalid,more-specific"
119.160.123.0/24,45669,"Invalid,more-specific"
121.52.144.0/24,45773,"Invalid,more-specific"
121.52.146.0/24,45773,"Invalid,more-specific"
121.52.147.0/24,45773,"Invalid,more-specific"
121.52.149.0/24,45773,"Invalid,more-specific"
121.52.150.0/24,45773,"Invalid,more-specific"
121.52.151.0/24,45773,"Invalid,more-specific"
121.52.152.0/24,45773,"Invalid,more-specific"
121.52.153.0/24,45773,"Invalid,more-specific"
121.52.154.0/24,45773,"Invalid,more-specific"
121.52.155.0/24,45773,"Invalid,more-specific"
121.52.156.0/24,45773,"Invalid,more-specific"
121.52.157.0/24,45773,"Invalid,more-specific"
121.52.158.0/24,45773,"Invalid,more-specific"
121.52.159.0/24,45773,"Invalid,more-specific"
124.6.220.0/22,38748,Invalid
124.158.224.0/22,24218,"Invalid,more-specific"
145.119.64.0/19,1136,"Invalid,more-specific"
145.119.160.0/19,1136,"Invalid,more-specific"
159.255.32.0/21,45671,Invalid
162.246.44.0/23,62695,"Invalid,more-specific"
162.246.46.0/23,62695,"Invalid,more-specific"
173.251.30.0/24,11737,Invalid
176.57.92.0/23,3212,Invalid
176.57.94.0/23,3212,Invalid
178.173.224.0/22,45671,Invalid
178.173.228.0/22,45671,Invalid
178.173.232.0/22,45671,Invalid
178.173.236.0/22,45671,Invalid
178.173.240.0/22,45671,Invalid
178.173.244.0/22,45671,Invalid
178.173.248.0/22,45671,Invalid
178.173.252.0/22,45671,Invalid
178.175.238.0/23,35534,Invalid
178.175.240.0/23,35534,Invalid
179.61.198.0/24,54500,Invalid
179.61.204.0/24,14935,Invalid
179.61.223.0/24,14935,Invalid
179.61.228.0/24,14935,Invalid
179.61.229.0/24,133398,Invalid
179.61.240.0/24,14935,Invalid
179.61.252.0/24,14935,Invalid
180.190.32.0/22,132199,"Invalid,more-specific"
180.190.32.0/24,132199,"Invalid,more-specific"
180.190.33.0/24,132199,"Invalid,more-specific"
180.190.34.0/24,132199,"Invalid,more-specific"
180.190.36.0/22,132199,"Invalid,more-specific"
180.190.36.0/24,132199,"Invalid,more-specific"
180.190.37.0/24,132199,"Invalid,more-specific"
180.190.38.0/24,132199,"Invalid,more-specific"
180.190.40.0/22,132199,"Invalid,more-specific"
180.190.40.0/24,132199,"Invalid,more-specific"
180.190.41.0/24,132199,"Invalid,more-specific"
180.190.42.0/24,132199,"Invalid,more-specific"
180.190.44.0/22,132199,"Invalid,more-specific"
180.190.44.0/24,132199,"Invalid,more-specific"
180.190.45.0/24,132199,"Invalid,more-specific"
180.190.48.0/22,132199,"Invalid,more-specific"
180.190.48.0/24,132199,"Invalid,more-specific"
180.190.49.0/24,132199,"Invalid,more-specific"
180.190.52.0/22,132199,"Invalid,more-specific"
180.190.52.0/24,132199,"Invalid,more-specific"
180.190.53.0/24,132199,"Invalid,more-specific"
180.190.56.0/22,132199,"Invalid,more-specific"
180.190.56.0/24,132199,"Invalid,more-specific"
180.190.57.0/24,132199,"Invalid,more-specific"
180.190.60.0/22,132199,"Invalid,more-specific"
180.190.60.0/24,132199,"Invalid,more-specific"
180.190.61.0/24,132199,"Invalid,more-specific"
180.190.160.0/22,132199,"Invalid,more-specific"
180.190.164.0/22,132199,"Invalid,more-specific"
180.190.168.0/22,132199,"Invalid,more-specific"
180.190.172.0/22,132199,"Invalid,more-specific"
180.190.192.0/22,132199,"Invalid,more-specific"
180.190.196.0/22,132199,"Invalid,more-specific"
180.191.49.0/24,132199,"Invalid,more-specific"
180.191.50.0/23,132199,"Invalid,more-specific"
180.191.52.0/22,132199,"Invalid,more-specific"
180.191.192.0/23,132199,"Invalid,more-specific"
180.191.194.0/23,132199,"Invalid,more-specific"
180.191.196.0/22,132199,"Invalid,more-specific"
180.191.224.0/23,132199,"Invalid,more-specific"
180.191.227.0/24,132199,"Invalid,more-specific"
180.191.228.0/22,132199,"Invalid,more-specific"
180.191.232.0/22,132199,"Invalid,more-specific"
180.191.236.0/22,132199,"Invalid,more-specific"
180.191.240.0/21,132199,"Invalid,more-specific"
180.191.248.0/22,132199,"Invalid,more-specific"
180.191.252.0/22,132199,"Invalid,more-specific"
181.41.194.0/24,29757,Invalid
181.41.216.0/24,133398,Invalid
181.214.47.0/24,14935,Invalid
181.214.51.0/24,29757,Invalid
181.214.52.0/24,19969,Invalid
181.214.56.0/24,14935,Invalid
181.214.81.0/24,29757,Invalid
181.214.92.0/24,14935,Invalid
181.214.93.0/24,14935,Invalid
181.214.136.0/22,29757,Invalid
181.214.149.0/24,40244,Invalid
181.214.155.0/24,205158,Invalid
181.214.228.0/24,29757,Invalid
181.215.1.0/24,19969,Invalid
181.215.197.0/24,14935,Invalid
181.215.247.0/24,57944,Invalid
181.215.248.0/24,14935,Invalid
181.215.249.0/24,14935,Invalid
181.215.250.0/24,14935,Invalid
181.215.251.0/24,14935,Invalid
185.4.12.0/24,41678,Invalid
185.4.13.0/24,41678,Invalid
185.66.148.0/22,3212,Invalid
185.85.148.0/22,3212,Invalid
185.225.15.0/24,36828,Invalid
191.96.14.0/24,17216,Invalid
191.96.31.0/24,17216,Invalid
191.96.38.0/24,133537,Invalid
191.96.65.0/24,19969,Invalid
191.96.177.0/24,14935,Invalid
191.96.202.0/24,17216,Invalid
191.96.246.0/24,14935,Invalid
191.101.16.0/24,17216,Invalid
191.101.51.0/24,17216,Invalid
191.101.196.0/24,22923,Invalid
191.101.243.0/24,22923,Invalid
193.111.220.0/22,3212,Invalid
194.133.122.0/24,37204,Invalid
194.133.159.0/24,37204,Invalid
195.188.251.0/24,42010,Invalid
195.188.253.0/24,42010,Invalid
200.25.0.0/24,7195,"Invalid,more-specific"
200.25.1.0/24,7195,"Invalid,more-specific"
200.25.2.0/24,7195,"Invalid,more-specific"
200.25.3.0/24,7195,"Invalid,more-specific"
200.25.4.0/24,7195,"Invalid,more-specific"
200.25.5.0/24,7195,"Invalid,more-specific"
200.25.6.0/24,7195,"Invalid,more-specific"
200.25.7.0/24,7195,"Invalid,more-specific"
200.25.8.0/24,7195,"Invalid,more-specific"
200.25.9.0/24,7195,"Invalid,more-specific"
200.25.10.0/24,7195,"Invalid,more-specific"
200.25.11.0/24,7195,"Invalid,more-specific"
200.25.12.0/24,7195,"Invalid,more-specific"
200.25.17.0/24,7195,"Invalid,more-specific"
200.25.24.0/24,7195,"Invalid,more-specific"
200.25.25.0/24,7195,"Invalid,more-specific"
200.25.26.0/24,7195,"Invalid,more-specific"
200.25.27.0/24,7195,"Invalid,more-specific"
202.4.32.0/24,23657,Invalid
202.4.33.0/24,23657,Invalid
202.4.37.0/24,23657,Invalid
202.4.38.0/24,23657,Invalid
202.4.40.0/24,23657,Invalid
202.4.41.0/24,23657,Invalid
202.4.42.0/24,23657,Invalid
202.4.48.0/24,23657,Invalid
202.4.49.0/24,23657,Invalid
202.4.51.0/24,23657,Invalid
202.4.52.0/24,23657,Invalid
202.4.56.0/24,23657,Invalid
202.4.57.0/24,23657,Invalid
202.4.58.0/24,23657,Invalid
202.4.59.0/24,23657,Invalid
202.4.60.0/24,23657,Invalid
202.4.61.0/24,23657,Invalid
202.4.62.0/24,23657,Invalid
202.52.46.0/24,55795,Invalid
202.62.47.0/24,23673,"Invalid,more-specific"
203.81.64.0/22,9988,"Invalid,more-specific"
203.81.68.0/22,9988,"Invalid,more-specific"
203.92.76.0/23,10024,"Invalid,more-specific"
203.92.82.0/23,10024,"Invalid,more-specific"
203.92.84.0/23,10024,"Invalid,more-specific"
203.92.120.0/23,10024,"Invalid,more-specific"
203.92.121.0/24,10024,"Invalid,more-specific"
203.98.42.0/23,9901,Invalid
203.98.69.0/24,10145,Invalid
203.98.85.0/24,10145,Invalid
203.98.86.0/24,10145,Invalid
203.170.72.0/24,17539,"Invalid,more-specific"
203.170.73.0/24,17539,"Invalid,more-specific"
203.170.74.0/24,17539,"Invalid,more-specific"
203.170.75.0/24,17539,"Invalid,more-specific"
203.170.76.0/24,17539,"Invalid,more-specific"
203.170.78.0/24,17539,"Invalid,more-specific"
203.170.79.0/24,17539,"Invalid,more-specific"
206.49.101.0/24,28885,Invalid
209.88.88.0/21,37204,Invalid
209.88.90.0/24,37204,Invalid
210.48.218.0/24,45344,"Invalid,more-specific"
210.48.219.0/24,45344,"Invalid,more-specific"
210.48.221.0/24,45344,"Invalid,more-specific"
212.5.48.0/24,47872,"Invalid,more-specific"
216.255.103.0/24,396130,Invalid
216.255.106.0/24,19961,Invalid
216.255.109.0/24,40095,Invalid
222.127.48.0/21,132199,"Invalid,more-specific"
222.127.56.0/21,132199,"Invalid,more-specific"
223.25.1.0/24,56099,"Invalid,more-specific"
223.25.2.0/24,56099,"Invalid,more-specific"
223.25.3.0/24,56099,"Invalid,more-specific"
223.25.5.0/24,56099,"Invalid,more-specific"
223.25.8.0/23,56099,"Invalid,more-specific"
223.25.10.0/23,56099,"Invalid,more-specific"
223.25.14.0/23,56099,"Invalid,more-specific"
223.25.16.0/23,56099,"Invalid,more-specific"
223.25.18.0/23,56099,"Invalid,more-specific"
223.25.24.0/23,56099,"Invalid,more-specific"
223.25.26.0/23,56099,"Invalid,more-specific"
223.25.44.0/23,56099,"Invalid,more-specific"
